MAJ,ident,nbplaces,nbvelos,nbelec,nbclassiq,velo_dispo,hour,minute,day
2021-05-18 21:19:03.067293,92.61748633879782,11.469945355191257,10.05464480874317,5.229508196721311,4.825136612021858,47.65573770491803,21.0,19.0,18.0
2021-05-14 19:32:11.410104,92.61748633879782,11.426229508196721,10.049180327868852,5.300546448087432,4.748633879781421,47.6448087431694,19.0,32.0,14.0
2021-05-19 07:59:10.864492,92.61748633879782,11.426229508196721,10.109289617486338,5.26775956284153,4.841530054644808,47.63934426229508,7.0,59.0,19.0
2021-05-15 16:12:11.269582,92.61748633879782,11.3551912568306,10.12568306010929,5.300546448087432,4.825136612021858,47.63934426229508,16.0,12.0,15.0
2021-05-15 14:27:11.704123,92.61748633879782,11.327868852459016,10.147540983606557,5.306010928961749,4.841530054644808,47.63934426229508,14.0,27.0,15.0
2021-05-16 10:02:11.413340,92.61748633879782,11.437158469945356,10.043715846994536,5.284153005464481,4.759562841530054,47.63387978142077,10.0,2.0,16.0
2021-05-18 06:47:10.384523,92.61748633879782,11.415300546448087,10.021857923497267,5.240437158469946,4.781420765027322,47.62841530054645,6.0,47.0,18.0
2021-05-14 08:26:28.943509,92.61748633879782,11.448087431693988,10.043715846994536,5.256830601092896,4.786885245901639,47.622950819672134,8.0,26.0,14.0
2021-05-14 19:57:11.305477,92.61748633879782,11.453551912568306,10.021857923497267,5.273224043715847,4.748633879781421,47.61748633879781,19.0,57.0,14.0
2021-05-14 08:56:29.045483,92.61748633879782,11.349726775956285,10.07103825136612,5.2896174863387975,4.781420765027322,47.61748633879781,8.0,56.0,14.0
2021-05-17 07:07:12.373564,92.61748633879782,11.480874316939891,10.0,5.202185792349726,4.797814207650274,47.612021857923494,7.0,7.0,17.0
2021-05-17 06:47:12.829185,92.61748633879782,11.540983606557377,9.939890710382514,5.163934426229508,4.775956284153006,47.612021857923494,6.0,47.0,17.0
2021-05-16 19:12:12.720359,92.61748633879782,11.459016393442623,10.01639344262295,5.262295081967213,4.754098360655738,47.60655737704918,19.0,12.0,16.0
2021-05-14 19:37:11.114429,92.61748633879782,11.437158469945356,10.03825136612022,5.300546448087432,4.737704918032787,47.60109289617486,19.0,37.0,14.0
2021-05-18 20:49:03.177825,92.61748633879782,11.480874316939891,10.043715846994536,5.224043715846994,4.819672131147541,47.60109289617486,20.0,49.0,18.0
2021-05-17 19:17:40.651471,92.61748633879782,11.497267759562842,10.01639344262295,5.251366120218579,4.7650273224043715,47.595628415300546,19.0,17.0,17.0
2021-05-14 08:01:28.811716,92.61748633879782,11.448087431693988,10.043715846994536,5.273224043715847,4.770491803278689,47.595628415300546,8.0,1.0,14.0
2021-05-16 13:57:11.771025,92.61748633879782,11.480874316939891,9.994535519125684,5.218579234972678,4.775956284153006,47.59016393442623,13.0,57.0,16.0
2021-05-18 07:02:02.571769,92.61748633879782,11.398907103825136,10.043715846994536,5.240437158469946,4.80327868852459,47.59016393442623,7.0,2.0,18.0
2021-05-15 16:22:11.465069,92.61748633879782,11.37704918032787,10.103825136612022,5.278688524590164,4.825136612021858,47.58469945355191,16.0,22.0,15.0
2021-05-19 07:24:11.376814,92.61748633879782,11.426229508196721,10.103825136612022,5.26775956284153,4.836065573770492,47.5792349726776,7.0,24.0,19.0
2021-05-19 21:39:11.356445,92.61748633879782,11.633879781420765,9.901639344262295,5.147540983606557,4.754098360655738,47.568306010928964,21.0,39.0,19.0
2021-05-15 14:47:11.828390,92.61748633879782,11.33879781420765,10.142076502732241,5.295081967213115,4.8469945355191255,47.557377049180324,14.0,47.0,15.0
2021-05-16 10:37:11.477703,92.61748633879782,11.46448087431694,10.010928961748634,5.284153005464481,4.726775956284153,47.557377049180324,10.0,37.0,16.0
2021-05-13 15:41:11.652914,92.61748633879782,11.426229508196721,10.12568306010929,5.295081967213115,4.830601092896175,47.557377049180324,15.0,41.0,13.0
2021-05-13 19:16:11.690050,92.61748633879782,11.486338797814208,10.021857923497267,5.213114754098361,4.808743169398907,47.55191256830601,19.0,16.0,13.0
2021-05-17 19:32:45.852671,92.61748633879782,11.530054644808743,9.98360655737705,5.2349726775956285,4.748633879781421,47.54644808743169,19.0,32.0,17.0
2021-05-14 19:42:10.871690,92.61748633879782,11.453551912568306,10.021857923497267,5.311475409836065,4.7103825136612025,47.53551912568306,19.0,42.0,14.0
2021-05-14 19:52:11.592812,92.61748633879782,11.46448087431694,10.010928961748634,5.2896174863387975,4.721311475409836,47.53551912568306,19.0,52.0,14.0
2021-05-15 16:27:11.924842,92.61748633879782,11.39344262295082,10.087431693989071,5.278688524590164,4.808743169398907,47.53005464480874,16.0,27.0,15.0
2021-05-16 10:42:11.677617,92.61748633879782,11.459016393442623,10.01639344262295,5.284153005464481,4.73224043715847,47.53005464480874,10.0,42.0,16.0
2021-05-18 20:24:02.708286,92.61748633879782,11.508196721311476,10.01639344262295,5.213114754098361,4.80327868852459,47.52459016393443,20.0,24.0,18.0
2021-05-18 20:14:02.464046,92.61748633879782,11.502732240437158,10.021857923497267,5.213114754098361,4.808743169398907,47.52459016393443,20.0,14.0,18.0
2021-05-14 08:16:28.689572,92.61748633879782,11.46448087431694,10.027322404371585,5.245901639344262,4.781420765027322,47.52459016393443,8.0,16.0,14.0
2021-05-14 08:11:29.021843,92.61748633879782,11.46448087431694,10.027322404371585,5.245901639344262,4.781420765027322,47.52459016393443,8.0,11.0,14.0
2021-05-15 14:32:11.262913,92.61748633879782,11.349726775956285,10.131147540983607,5.278688524590164,4.852459016393443,47.51912568306011,14.0,32.0,15.0
2021-05-17 06:57:11.001242,92.61748633879782,11.519125683060109,9.96174863387978,5.19672131147541,4.7650273224043715,47.513661202185794,6.0,57.0,17.0
2021-05-16 13:52:11.437889,92.61748633879782,11.491803278688524,9.98360655737705,5.224043715846994,4.759562841530054,47.50819672131148,13.0,52.0,16.0
2021-05-18 21:04:02.889283,92.61748633879782,11.513661202185792,10.010928961748634,5.213114754098361,4.797814207650274,47.50819672131148,21.0,4.0,18.0
2021-05-18 06:52:03.230472,92.61748633879782,11.415300546448087,10.021857923497267,5.218579234972678,4.80327868852459,47.50819672131148,6.0,52.0,18.0
2021-05-14 08:21:29.379090,92.61748633879782,11.46448087431694,10.027322404371585,5.251366120218579,4.775956284153006,47.49726775956284,8.0,21.0,14.0
2021-05-18 20:19:02.656620,92.61748633879782,11.508196721311476,10.01639344262295,5.218579234972678,4.797814207650274,47.49180327868852,20.0,19.0,18.0
2021-05-14 19:47:12.134796,92.61748633879782,11.475409836065573,10.0,5.295081967213115,4.704918032786885,47.48087431693989,19.0,47.0,14.0
2021-05-19 07:54:11.550686,92.61748633879782,11.448087431693988,10.087431693989071,5.240437158469946,4.8469945355191255,47.48087431693989,7.0,54.0,19.0
2021-05-16 10:47:10.918642,92.61748633879782,11.475409836065573,10.0,5.278688524590164,4.721311475409836,47.47540983606557,10.0,47.0,16.0
2021-05-14 08:41:28.921229,92.61748633879782,11.415300546448087,10.076502732240437,5.295081967213115,4.781420765027322,47.47540983606557,8.0,41.0,14.0
2021-05-14 08:06:29.399635,92.61748633879782,11.469945355191257,10.021857923497267,5.256830601092896,4.7650273224043715,47.46994535519126,8.0,6.0,14.0
2021-05-18 20:29:03.373356,92.61748633879782,11.530054644808743,9.994535519125684,5.202185792349726,4.7923497267759565,47.46448087431694,20.0,29.0,18.0
2021-05-14 19:27:10.994176,92.61748633879782,11.453551912568306,10.021857923497267,5.295081967213115,4.726775956284153,47.46448087431694,19.0,27.0,14.0
2021-05-18 19:49:02.964878,92.61748633879782,11.513661202185792,10.010928961748634,5.218579234972678,4.7923497267759565,47.459016393442624,19.0,49.0,18.0
2021-05-14 09:31:28.999259,92.61748633879782,11.33879781420765,10.092896174863387,5.3224043715847,4.770491803278689,47.45355191256831,9.0,31.0,14.0
2021-05-19 07:49:11.184126,92.61748633879782,11.459016393442623,10.076502732240437,5.229508196721311,4.8469945355191255,47.45355191256831,7.0,49.0,19.0
2021-05-13 18:51:11.108798,92.61748633879782,11.486338797814208,10.021857923497267,5.240437158469946,4.781420765027322,47.44808743169399,18.0,51.0,13.0
2021-05-15 14:42:11.227267,92.61748633879782,11.360655737704919,10.120218579234972,5.284153005464481,4.836065573770492,47.442622950819676,14.0,42.0,15.0
2021-05-18 06:57:02.413088,92.61748633879782,11.426229508196721,10.01639344262295,5.229508196721311,4.786885245901639,47.43715846994535,6.0,57.0,18.0
2021-05-15 14:37:11.753486,92.61748633879782,11.366120218579235,10.114754098360656,5.284153005464481,4.830601092896175,47.42622950819672,14.0,37.0,15.0
2021-05-17 06:52:13.620062,92.61748633879782,11.579234972677595,9.901639344262295,5.1530054644808745,4.748633879781421,47.42622950819672,6.0,52.0,17.0
2021-05-19 07:44:11.033092,92.61748633879782,11.46448087431694,10.07103825136612,5.2349726775956285,4.836065573770492,47.42622950819672,7.0,44.0,19.0
2021-05-16 12:12:11.702601,92.61748633879782,11.475409836065573,10.0,5.245901639344262,4.754098360655738,47.4207650273224,12.0,12.0,16.0
2021-05-18 21:09:02.593816,92.61748633879782,11.524590163934427,10.0,5.2076502732240435,4.7923497267759565,47.4207650273224,21.0,9.0,18.0
2021-05-14 09:26:28.931778,92.61748633879782,11.349726775956285,10.103825136612022,5.327868852459017,4.775956284153006,47.4207650273224,9.0,26.0,14.0
2021-05-16 10:52:43.238764,92.61748633879782,11.491803278688524,9.98360655737705,5.256830601092896,4.726775956284153,47.41530054644809,10.0,52.0,16.0
2021-05-17 19:27:43.876029,92.61748633879782,11.562841530054644,9.950819672131148,5.218579234972678,4.73224043715847,47.41530054644809,19.0,27.0,17.0
2021-05-15 16:32:11.421928,92.61748633879782,11.415300546448087,10.060109289617486,5.284153005464481,4.775956284153006,47.404371584699454,16.0,32.0,15.0
2021-05-16 11:42:11.286435,92.61748633879782,11.502732240437158,9.972677595628415,5.224043715846994,4.748633879781421,47.39890710382514,11.0,42.0,16.0
2021-05-17 19:12:45.133054,92.61748633879782,11.53551912568306,9.978142076502733,5.240437158469946,4.737704918032787,47.39890710382514,19.0,12.0,17.0
2021-05-16 13:47:11.872001,92.61748633879782,11.502732240437158,9.972677595628415,5.2076502732240435,4.7650273224043715,47.377049180327866,13.0,47.0,16.0
2021-05-18 20:44:02.408968,92.61748633879782,11.530054644808743,9.994535519125684,5.213114754098361,4.781420765027322,47.377049180327866,20.0,44.0,18.0
2021-05-16 11:02:11.617614,92.61748633879782,11.508196721311476,9.967213114754099,5.256830601092896,4.7103825136612025,47.37158469945355,11.0,2.0,16.0
2021-05-16 19:07:11.296892,92.61748633879782,11.513661202185792,9.96174863387978,5.240437158469946,4.721311475409836,47.37158469945355,19.0,7.0,16.0
2021-05-16 11:37:11.185028,92.61748633879782,11.508196721311476,9.967213114754099,5.229508196721311,4.737704918032787,47.37158469945355,11.0,37.0,16.0
